COUNTRY,Country ,FIELD,Field,ISC11_LEVEL_CAT,Level of education,Value
POL,Poland,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.6
POL,Poland,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54.8
POL,Poland,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),73.3
POL,Poland,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.1
POL,Poland,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.4875
PRT,Portugal,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),79.4
PRT,Portugal,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),60.6
PRT,Portugal,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.8
PRT,Portugal,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56.9
PRT,Portugal,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),32.6
PRT,Portugal,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),60.2
PRT,Portugal,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),79
PRT,Portugal,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.1
PRT,Portugal,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.7
RUS,Russia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57.5
RUS,Russia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),50.2
RUS,Russia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56.3
RUS,Russia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),27.9
RUS,Russia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),19.2
RUS,Russia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),36.8
RUS,Russia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.7
RUS,Russia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),24.1
RUS,Russia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.8375
SAU,Saudi Arabia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),0
SAU,Saudi Arabia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.5
SAU,Saudi Arabia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),2.7
SAU,Saudi Arabia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),83.9
SAU,Saudi Arabia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),100
SAU,Saudi Arabia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.82
SVK,Slovak Republic,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),77.8
SVK,Slovak Republic,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67.4
SVK,Slovak Republic,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),68.2
SVK,Slovak Republic,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),45.7
SVK,Slovak Republic,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),31.6
SVK,Slovak Republic,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),51.9
SVK,Slovak Republic,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),80.4
SVK,Slovak Republic,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),41.8
SVK,Slovak Republic,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.1
SVN,Slovenia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),88.7
SVN,Slovenia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),69.4
SVN,Slovenia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),69
SVN,Slovenia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),41.5
SVN,Slovenia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),24.2
SVN,Slovenia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56.2
SVN,Slovenia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),78.8
SVN,Slovenia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),48.6
SVN,Slovenia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.55
SWE,Sweden,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),81.1
SWE,Sweden,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.5
SWE,Sweden,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),63.2
SWE,Sweden,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),40
SWE,Sweden,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),30.6
SWE,Sweden,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),66.8
SWE,Sweden,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),81.5
SWE,Sweden,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),66.1
SWE,Sweden,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.475
TUR,Turkey,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),64
TUR,Turkey,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.3
TUR,Turkey,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),48
TUR,Turkey,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),50
TUR,Turkey,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),27
TUR,Turkey,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),43.6
TUR,Turkey,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67
TUR,Turkey,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),37.6
TUR,Turkey,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.9375
USA,United States,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),78
USA,United States,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.8
USA,United States,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.8
USA,United States,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),40.3
USA,United States,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),19.3
USA,United States,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),50.6
USA,United States,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),81.2
USA,United States,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),53.1
USA,United States,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54.7625
AUS,Australia,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),76.5
AUS,Australia,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.6
AUS,Australia,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.2
AUS,Australia,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),41.6
AUS,Australia,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),22.2
AUS,Australia,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.6
AUS,Australia,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),75.2
AUS,Australia,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.3
AUT,Austria,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),82.4
AUT,Austria,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),71
AUT,Austria,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),60.7
AUT,Austria,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),38.4
AUT,Austria,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),26.9
AUT,Austria,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),50.1
AUT,Austria,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),81.7
AUT,Austria,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),41.1
BEL,Belgium,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),80
BEL,Belgium,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),62.3
BEL,Belgium,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),59.2
BEL,Belgium,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),26.4
BEL,Belgium,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),21.5
BEL,Belgium,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),56.8
BEL,Belgium,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),78.8
BEL,Belgium,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),54.9
BRA,Brazil,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),76.6
BRA,Brazil,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.1
BRA,Brazil,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),58.7
BRA,Brazil,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),32.8
BRA,Brazil,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),32.1
BRA,Brazil,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),43.4
BRA,Brazil,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),77
BRA,Brazil,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),62.1
CHE,Switzerland,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),62.1
CHE,Switzerland,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.3
CHE,Switzerland,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),27.3
CHE,Switzerland,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),12.3
CHE,Switzerland,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),27.3
CHE,Switzerland,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),78.7
CHE,Switzerland,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),36.9
CHL,Chile,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),71.9
CHL,Chile,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.5
CHL,Chile,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.3
CHL,Chile,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),20.9
CHL,Chile,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),21.3
CHL,Chile,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.3
CHL,Chile,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),76.6
CHL,Chile,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),45.4
COL,Colombia,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),68.7
COL,Colombia,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),52.9
COL,Colombia,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.2
COL,Colombia,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),58.9
COL,Colombia,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),36.1
COL,Colombia,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),40.2
COL,Colombia,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),75.7
COL,Colombia,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),42.1
CRI,Costa Rica,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),74.3
CRI,Costa Rica,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),53.7
CRI,Costa Rica,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.4
CRI,Costa Rica,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),34
CRI,Costa Rica,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),34.5
CRI,Costa Rica,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),44.3
CRI,Costa Rica,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),78.4
CRI,Costa Rica,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),58.4
CZE,Czech Republic,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),83.5
CZE,Czech Republic,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),73.1
CZE,Czech Republic,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),67.5
CZE,Czech Republic,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),38.3
CZE,Czech Republic,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),29.2
CZE,Czech Republic,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),58.7
CZE,Czech Republic,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),88
CZE,Czech Republic,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),52
DEU,Germany,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),80
DEU,Germany,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),68.9
DEU,Germany,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.2
DEU,Germany,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),33
DEU,Germany,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),17.6
DEU,Germany,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),29.1
DEU,Germany,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),79.7
DEU,Germany,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.8
DNK,Denmark,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),70.3
DNK,Denmark,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),68.3
DNK,Denmark,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),55.7
DNK,Denmark,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),37.6
DNK,Denmark,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),27.9
DNK,Denmark,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),81.6
DNK,Denmark,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),81
DNK,Denmark,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),21.4
ESP,Spain,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),79.9
ESP,Spain,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.8
ESP,Spain,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),60
ESP,Spain,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),38
ESP,Spain,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),28.2
ESP,Spain,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),38.6
ESP,Spain,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),78.2
ESP,Spain,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),49.2
EST,Estonia,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),93.2
EST,Estonia,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),75.2
EST,Estonia,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),73.6
EST,Estonia,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),41.9
EST,Estonia,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),29.1
EST,Estonia,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),41.1
EST,Estonia,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),92.8
EST,Estonia,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),44.4
FIN,Finland,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),83
FIN,Finland,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),73.9
FIN,Finland,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),64.1
FIN,Finland,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),38.3
FIN,Finland,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),19.5
FIN,Finland,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.7
FIN,Finland,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),88
FIN,Finland,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),68.1
FRA,France,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),73.9
FRA,France,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),70.9
FRA,France,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.1
FRA,France,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),39.4
FRA,France,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),27.5
FRA,France,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),49.3
FRA,France,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),80.6
FRA,France,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),44
GBR,United Kingdom,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),86.1
GBR,United Kingdom,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),63
GBR,United Kingdom,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),52.4
GBR,United Kingdom,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),45.5
GBR,United Kingdom,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),19.5
GBR,United Kingdom,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),67.8
GBR,United Kingdom,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),76.8
GBR,United Kingdom,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),66.4
GRC,Greece,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),77.3
GRC,Greece,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),75.2
GRC,Greece,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),61.4
GRC,Greece,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),45.8
GRC,Greece,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),29.4
GRC,Greece,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),50.3
GRC,Greece,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),74.1
GRC,Greece,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.9
HUN,Hungary,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),89
HUN,Hungary,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),70.2
HUN,Hungary,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),67.5
HUN,Hungary,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),43.2
HUN,Hungary,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),22.3
HUN,Hungary,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),39
HUN,Hungary,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),86.1
HUN,Hungary,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),56.4
IDN,Indonesia,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),62.7
IDN,Indonesia,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.6
IDN,Indonesia,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),48.2
IDN,Indonesia,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),38.7
IDN,Indonesia,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),34.9
IDN,Indonesia,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),37.8
IDN,Indonesia,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),72.4
IDN,Indonesia,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),35.9
IRL,Ireland,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),71.5
IRL,Ireland,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),59.1
IRL,Ireland,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),53.9
IRL,Ireland,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),37.1
IRL,Ireland,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),11.2
IRL,Ireland,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),20.6
IRL,Ireland,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),78.7
IRL,Ireland,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),36.8
ISR,Israel,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),85.3
ISR,Israel,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),63.2
ISR,Israel,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),58.9
ISR,Israel,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),40.4
ISR,Israel,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),27.9
ISR,Israel,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.3
ISR,Israel,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),80.1
ITA,Italy,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),89.5
ITA,Italy,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),71.9
ITA,Italy,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),57.2
ITA,Italy,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),52.8
ITA,Italy,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),32
ITA,Italy,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),46.8
ITA,Italy,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),71.8
ITA,Italy,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.1
JPN,Japan,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),61
JPN,Japan,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),69.7
JPN,Japan,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),36.2
JPN,Japan,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),27.2
JPN,Japan,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),12.1
JPN,Japan,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),42.4
JPN,Japan,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),72.1
JPN,Japan,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),90.6
KOR,Korea,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),69.8
KOR,Korea,F2,Humanities and arts,L6,Bachelor’s or equivalent level (ISCED2011 level 6),69.8
KOR,Korea,F3,"Social sciences, business and law",L6,Bachelor’s or equivalent level (ISCED2011 level 6),47.9
KOR,Korea,F4,"Science, mathematics and computing",L6,Bachelor’s or equivalent level (ISCED2011 level 6),39.9
KOR,Korea,F5,"Engineering, manufacturing and construction",L6,Bachelor’s or equivalent level (ISCED2011 level 6),25.8
KOR,Korea,F6,Agriculture and veterinary,L6,Bachelor’s or equivalent level (ISCED2011 level 6),42.8
KOR,Korea,F7,Health and Welfare,L6,Bachelor’s or equivalent level (ISCED2011 level 6),71.8
KOR,Korea,F8,Services,L6,Bachelor’s or equivalent level (ISCED2011 level 6),37.8
LTU,Lithuania,F1,Education,L6,Bachelor’s or equivalent level (ISCED2011 level 6),80.1
